title,item_id
X-COM: Interceptor,7730
The Witcher: Enhanced Edition Director's Cut,20900
Multiwinia,1530
STCC - The Game 1 - Expansion Pack for RACE 07,8690
Children of the Nile: Alexandria,17120
Sid Meier's Civilization IV: Colonization,16810
Tom Clancy's Rainbow Six® 3 Gold,19830
LEGO Batman,21000
City Life 2008,4460
Hinterland,17140
Brothers in Arms: Hell's Highway™,15390
Gravitron 2,21300
Xpand Rally Xtreme,3050
Heroes of Might &amp; Magic V: Hammers of Fate,15380
Brothers in Arms: Earned in Blood™,19800
Heroes of Might &amp; Magic V: Tribes of the East,15370
The Settlers®: Rise Of An Empire Gold Edition,19930
Brain Spa,15350
The Sum of All Fears,19810
Peggle™ Nights,3540
World of Goo,22000
X3: Terran Conflict,2820
Mare Nostrum,1230
Spectraball,18300
Galactic Bowling,20200
Bully: Scholarship Edition,12200
Far Cry® 2: Fortune's Edition,19900
Space Trader: Merchant Marine,11240
PRR Wagon Pack 01,256522
"Class 421 London South East ""Jaffa Cake""",275144
ATSF Wagon Pack 01,256521
GP20 Union Pacific Add-on Livery,222569
UK Van Wagon Pack,256535
CSX SD70MAC Add-on Livery,256611
CSX ES44AC Add-on Livery,256576
Saints Row 2,9480
Dead Space,17470
Rise of the Argonauts,12770
Mirror's Edge™,17410
Defense Grid: The Awakening,18500
F.E.A.R. 2: Project Origin,16450
Harvest: Massive Encounter,15400
Mayhem Intergalactic,18600
Larva Mortus,11340
Knights of Honor,25830
Ceville,23460
Empire: Total War™ - Special Forces Units &amp; Bonus Content,10600
Watchmen: The End is Nigh,21010
Penumbra Overture,22180
Unreal Tournament 3 Black,13210
Drakensang,12640
The Graveyard,27020
Burnout Paradise: The Ultimate Box,24740
The Maw,26000
The Maw: River Redirect,26006
The Maw: Brute Force,26005
Obulis,11330
Space Giraffe,27800
Codename: Panzers - Cold War,9850
Escape Rosecliff Island,3600
Guild Wars Nightfall®,29580
Guild Wars® Game of the Year Edition,29540
Guild Wars Factions®,29560
Guild Wars Trilogy,29570
Puzzle Kingdoms,23700
Samantha Swift and the Golden Touch,16060
Two Worlds Epic Edition,1930
Helldorado,18470
X-Blades,7510
Zeno Clash,22200
The Maw: Speeder Lane,26007
King's Bounty: The Legend,25900
Virtual Families,16200
Death Track®: Resurrection,7840
Freedom Force vs. the Third Reich,8890
Freedom Force,8880
Light of Altair,34500
Darkest Hour: Europe '44-'45,1280
Prototype™,10150
Blueberry Garden,29160
Port Royale 2,12470
The Elder Scrolls IV: Oblivion® Game of the Year Edition,22330
The Elder Scrolls III: Morrowind® Game of the Year Edition,22320
Ankh 2: Heart of Osiris,12440
Armored Fist 3,32710
MiG-29 Fulcrum,32740
BC Kings,12460
Call of Juarez®: Bound in Blood,21980
Nancy Drew®: Legend of the Crystal Skull,31860
Nancy Drew®: The Creature of Kapu Cave,31900
Nancy Drew®: The Phantom of Venice,31920
Nancy Drew®: The White Wolf of Icicle Creek,31930
BRAINPIPE: A Plunge to Unhumanity,35800
Tales of Monkey Island Complete Pack,31170
Street Fighter® IV,21660
Thrillville®: Off the Rails™,6080
Indiana Jones® and the Fate of Atlantis™,6010
Armed and Dangerous®,6090
"Star Wars: Battlefront 2 (Classic, 2005)",6060
Indiana Jones® and the Last Crusade™,32310
LEGO® Indiana Jones™: The Original Adventures,32330
The Secret of Monkey Island: Special Edition,32360
Warfare,35300
Clutch,35310
Nancy Drew®: Ransom of the Seven Ships,31980
3D Ultra™ Minigolf Adventures,10140
King's Quest™ Collection,10100
TimeShift™,10130
Space Quest™ Collection,10110
Killing Floor Outbreak Character Pack,1256
Aces of the Galaxy™,10120
Tropico Reloaded,33520
Mystery P.I. - Lost in Los Angeles,3610
Bionic Commando: Rearmed,21680
Bionic Commando,21670
Watchmen: The End is Nigh Part 2,21030
Foreign Legion: Buckets of Blood,36000
STAR WARS™ - Knights of the Old Republic™,32370
Osmos,29180
Fallout 2: A Post Nuclear Role Playing Game,38410
Fallout Tactics: Brotherhood of Steel,38420
Kingpin — Life of Crime,38430
Tales of Monkey Island Complete Pack: Chapter 2 - The Siege of Spinner Cay,31180
Jewel Quest Pack,37960
Mahjong Quest Collection,38000
"Time Gentlemen, Please! and Ben There, Dan That! Special Edition  Double Pack",37400
Tom Clancy's Splinter Cell Chaos Theory®,13570
XIII Century – Gold Edition,34420
World of Zoo,43100
Mini Ninjas,35000
Windosill,37600
Train Simulator: Colton &amp; Northern Route Add-On,24029
Midnight Mysteries,32140
Tales of Monkey Island Complete Pack: Chapter 3 - Lair of the Leviathan,31190
Joint Operations: Combined Arms Gold,32770
Train Simulator: US Loco &amp; Asset Pack,208306
DinerTown Tycoon,37300
Train Simulator: European Loco &amp; Asset Pack,208300
Risen,40300
Flora's Fruit Farm,35070
Empire: Total War™ - The Warpath Campaign,10606
Machinarium,40700
Medal of Honor: Airborne,24840
Need for Speed: Shift,24870
Torchlight,41500
Command &amp; Conquer: Red Alert 3 - Uprising,24800
The Stronghold Collection,901735
East India Company: Privateer,42800
Painkiller: Resurrection,39560
SpellForce 2 - Anniversary Edition,39550
Secret Files: Tunguska,40330
Rush for Berlin Gold,40320
Tales of Monkey Island Complete Pack: Chapter 4 - The Trial and Execution of Guybrush Threepwood,31200
Men of War: Red Tide,3130
Hammerfight,41100
SpellForce - Platinum Edition,39540
Massive Assault: Phantom Renaissance,34640
Massive Assault,34630
Serious Sam HD: The First Encounter,41000
Secret Files 2: Puritas Cordis,40340
Dragon Age: Origins,17450
Aztaka,37100
Magnetis,37500
For The Glory: A Europa Universalis Game,42810
Call of Duty®: Modern Warfare® 2,10180
LEGO® Star Wars™ - The Complete Saga,32440
Overlord™,11450
Overlord™: Raising Hell,12710
Command &amp; Conquer 3: Tiberium Wars,24790
Yumsters 2: Around the World,29120
Command &amp; Conquer 3: Kane's Wrath,24810
Gratuitous Space Battles,41800
Wings of Prey,45300
The Bard's Tale,41900
Defence Alliance 2,35420
STAR WARS™ - The Force Unleashed™ Ultimate Sith Edition,32430
Fallout 3: Game of the Year Edition,22370
Gratuitous Space Battles: The Tribe,41802
Build-A-Lot,38080
Build-A-Lot 2: Town of the Year,38090
Build-A-Lot 3: Passport to Europe,38100
Coconut Queen,38070
Roogoo,38210
Devil May Cry 4,45700
Avencast: Rise of the Mage,46410
Build-A-Lot 4: Power Source,38110
"Pirates, Vikings, and Knights II",17570
Farm Frenzy 2,38130
Farm Frenzy 3: American Pie,38160
Farm Frenzy 3,38150
Farm Frenzy,38120
Farm Frenzy: Pizza Party,38140
Cake Mania Main Street™,36300
Westward® IV: All Aboard,36310
Iron Roses,36320
UFO: Extraterrestrials Gold,37030
LEGO® Indiana Jones™ 2: The Adventure Continues,32450
Super Laser  Racer,44100
Hearts of Iron III: Soviet Infantry Pack DLC,25960
NecroVisioN: Lost Company,46250
Cradle of Persia,38180
Aliens vs. Predator Swarm Map Pack,10695
Serious Sam Classic: The First Encounter,41050
Train Simulator: Fort Kent to Eagle Lake Route Add-On,24055
Mount &amp; Blade: Warband,48700
Coniclysm,39900
Plain Sight,49900
Lead and Gold: Gangs of the Wild West,42120
Grand Theft Auto: Episodes from Liberty City,12220
Dark Void™ Zero,45730
Fortix,45400
Beat Hazard,49600
Sam &amp; Max: The Devil’s Playhouse,901399
M.U.D. TV,43500
Wings of Luftwaffe Add-on,45302
The Misadventures of P.B. Winterbottom,40930
AquaNox 2: Revelation,39640
AquaNox,39630
Fluttabyes,23150
Hidden Expedition: Titanic,50940
Hidden Expedition: Amazon,50920
Napoleon: Total War™ - Coalition Battle Pack,34178
Fitness Dash™,37340
Gemini Lost™,37390
DinerTown Detective Agency™,37310
Hotel Dash™ Suite Success™,49000
Nightshift Legacy: The Jaguar's Eye™,37330
The Nightshift Code™,37320
TriJinx: A Kristine Kross Mystery™,37370
Valerie Porter and the Scarlet Scandal™,37380
Biozone,19080
Rocket Knight,19030
Flight of the Icarus,49800
Puzzler World,33650
Prince of Persia: The Forgotten Sands™ Digital Deluxe Edition,901478
Ziro,33660
Altered Beast™,34281
Comix Zone™,34272
SEGA Mega Drive and Genesis Classics,34270
Golden Axe™,34276
Ecco the Dolphin™,34274
Gain Ground™,34275
Shinobi™ III: Return of the Ninja Master,34277
Crack Down™,34273
VectorMan™,34280
Shadow Dancer™,34282
Space Harrier™ II,34279
Alpha Protocol™,34010
Alien Breed: Impact,22610
Fallout 3 - Point Lookout,22440
Defense Grid: Resurgence Map Pack 1,18508
Fallout 3 - Mothership Zeta,22430
Fallout 3 - Broken Steel,22410
Fallout 3 - The Pitt,22420
Alien Swarm,630
Fallout 3 - Operation Anchorage,22400
SimCity™ 4 Deluxe Edition,24780
Disciples III - Renaissance Steam Special Edition,33670
Tidalis,40420
Razor2: Hidden Skies,34920
The Settlers 7: Uncharted Land Map Pack,48136
Dimensity,46720
Kane &amp; Lynch 2: Dog Days,28000
The Guild II Renaissance,39680
Hearts of Iron III DLC: German II Spritepack,25962
Trainz Simulator DLC: Blue Comet,24634
Fantasy Wars,63900
Mafia II,50130
Train Simulator: Network Southeast Class 47 Loco Add-On,24075
Puzzle Quest 2,47540
Burn Zombie Burn!,50510
Madballs B*D*I Clan Skins,25760
Madballs Scorched Evolution Skin Rollup,25763
Madballs BDI Evolution Skin Rollup,25762
Madballs Holiday Skin Rollup,25764
Victoria I Complete,42980
Ship Simulator Extremes,48800
Worms Reloaded,22600
Making History II: The War of the World,46770
Arma 2: British Armed Forces,65700
Victoria II,42960
Madballs Scorched Clan Skins,25761
Kane &amp; Lynch 2: The Doggie Bag,28010
Kane &amp; Lynch 2: Multiplayer Masks Pack,28012
Trainz: Classic Cabon City,24640
Kane &amp; Lynch 2: Alliance Weapon Pack,28011
Cossacks: Back to War,4850
Broken Sword: Director's Cut,57640
Chime,62100
Mafia II DLC: Jimmy's Vendetta,50145
Sniper: Ghost Warrior - Map Pack,34841
VVVVVV,70300
The Settlers 7: Conquest - The Empire Expansion DLC,48137
Amnesia: The Dark Descent,57300
Recettear: An Item Shop's Tale,70400
Swarm Arena,46600
Super Thunder Blade™,34314
Galaxy Force II™,34310
Hacker Evolution,70100
Hacker Evolution: Untold,70110
Faerie Solitaire,38600
Patrician IV - Steam Special Edition,57620
Bonanza Bros.™,34284
King's Bounty: Crossworlds,63910
Train Simulator: Green &amp; Gold HST DMU Add-On,24082
Sid Meier's Civilization® V,8930
Commander: Conquest of the Americas - Colonial Navy,49310
Serious Sam Classic: The Second Encounter,41060
Star Ruler,70900
Blade Kitten,9940
Alien Breed 2: Assault,22650
Darksiders™,50620
X: Beyond the Frontier,2840
The Kings' Crusade,42920
Guild Wars: Eye of the North®,29700
X: Tension,2850
Age of Wonders II: The Wizard's Throne,61510
Governor of Poker 2,70200
Governor of Poker 2 - Premium Edition,70210
Age of Wonders Shadow Magic,61520
Age of Wonders,61500
Medal of Honor™,47790
Grotesque Tactics: Evil Heroes,46450
Lost Planet® 2,45750
Doc Clock: The Toasted Sandwich of Time,57800
Fallout: New Vegas,22380
The Polynomial - Space of the music,67000
Puzzle Bots,80300
Nimbus,50000
Civilization V - Babylon (Nebuchadnezzar II),16868
DeathSpank,18040
Virtua Fighter™ 2,71115
Columns™ III,34317
Sword of Vermilion™,71114
Golden Axe™ II,71112
Sonic The Hedgehog,71113
Ecco™: The Tides of Time,34319
Bio-Hazard Battle™,34316
Alien Storm,34315
Shank,6120
The Ball,35460
STAR WARS™: The Force Unleashed™ II,32500
Flight Control HD,62000
Patrician III,33570
BIT.TRIP BEAT,63700
Theatre of War 2 - Battle for Caen,46362
Woody Two-Legs: Attack of the Zombie Pirates,49320
Clones,72400
Victoria II: Interwar Spritepack,42964
Front Mission Evolved: Wanzer Pack 2,43011
Pound of Ground,33980
Pat &amp; Mat,65710
Alternativa,33990
Fish Fillets 2,33950
Archon Classic,65400
Call of Duty®: Black Ops,42700
Rhythm Zone Tornado Visualizer DLC,38923
Oddworld: Munch's Oddysee,15740
Rhythm Zone DJ Table Visualizer DLC,38924
Oddworld: Stranger's Wrath HD,15750
Clickr,45500
Back to the Future: The Game,31290
Grand Theft Auto III,12100
Grand Theft Auto: San Andreas,12120
Lara Croft GoL: Raziel and Kain Character Pack,35135
Lara Croft GoL: Things that Go Boom - Challenge Pack 2,35137
Lara Croft GoL: Hazardous Reunion - Challenge Pack 3,35138
Lara Croft GoL: All the Trappings - Challenge Pack 1,35136
Grand Theft Auto: Vice City,12110
Zeit²,33390
A.R.E.S.: Extinction Agenda,92300
APOX,80000
Dead Space™ 2,47780
Drawn®: The Painted Tower,51060
Kaptain Brawe: A Brawe New World,65080
Monday Night Combat,63200
Luxor: 5th Passage,60340
Alien Soldier,71116
Shining in the Darkness,71161
Light Crusader,71119
Landstalker: The Treasures of King Nole,71118
Gunstar Heroes,71117
ToeJam &amp; Earl,71166
Streets of Rage 2,71165
Sonic The Hedgehog 2,71163
Streets of Rage,71164
Shining Force II,71160
Shining Force,71120
The Sims™ 3,47890
Ship Simulator Extremes: Sigita Pack,48802
The Sims™ 3 Fast Lane Stuff,47896
The Sims™ 3 World Adventures,47892
The Sims™ 3 Late Night,47894
The Sims™ 3 Ambitions,47893
The Sims™ 3 High-End Loft Stuff,47895
Trino,42000
Mishap 2: An Intentional Haunting - Collector's Edition,47570
The Sims™ 3 Outdoor Living Stuff,47897
Who's That Flying?!,57700
Myst: Masterpiece Edition,63660
Guardians of Graxia: Elves &amp; Dwarves,90504
Two Worlds II HD,7520
Test Drive Unlimited 2,9930
King Arthur: The Druids,24449
Gratuitous Space Battles: Galactic Conquest,41814
The Kings' Crusade: New Allies,42925
DUNGEONS - Steam Special Edition,57650
AI War: Light of the Spire,40407
Drakensang: The River of Time,33770
RISK™: Factions,47800
Crazy Machines 2: Time Travel Add-On,18408
BIT.TRIP RUNNER,63710
Homefront,55100
Fate of the World,80200
B.U.T.T.O.N. (Brutally Unfair Tactics Totally OK Now),92400
"Warhammer 40,000: Dawn of War II - Retribution Ork Race Pack",56435
"Warhammer 40,000: Dawn of War II - Retribution Imperial Guard Race Pack",56433
"Warhammer 40,000: Dawn of War II - Retribution Eldar Race Pack",56432
"Warhammer 40,000: Dawn of War II - Retribution Chaos Space Marines Race Pack",56431
RIFT,39120
"Warhammer 40,000: Dawn of War II: Retribution",56437
Dinner Date,94000
"Warhammer 40,000: Dawn of War II - Retribution Space Marines Race Pack",56434
Shadow Harvest: Phantom Ops,92700
Cities in Motion: Design Classics,73012
Ship Simulator Extremes: Ferry Pack,48803
"Warhammer 40,000: Dawn of War II: Retribution: Dark Angels Pack",56536
STCC The Game 2 – Expansion Pack for RACE 07,44620
Anomaly: Warzone Earth,91200
Armada 2526,46790
Darkest Hour: A Hearts of Iron Game,73170
Dungeons: Into the Dark DLC Pack,57655
Dino D-Day,70000
Patrician IV: Rise of a Dynasty,57730
Portal 2,620
Magicka: Vietnam,42918
Sanctum,91600
Majesty 2 Collection,73020
"Warhammer 40,000: Dawn of War II - Retribution - Mekboy Wargear DLC",56482
Dawn of War II: Retribution – The Last Stand,56438
"Warhammer 40,000: Dawn of War II - Retribution - Farseer Wargear DLC",56481
Frozen Synapse,98200
"Warhammer 40,000: Dawn of War II: Retribution - Captain Wargear DLC",56480
Winter Voices Episode 4: Amethyst Rivers,72905
Hunted: The Demon’s Forge™,22450
Hamilton's Great Adventure,42140
The Sims™ 3 Generations,47898
Cities in Motion: Tokyo,73181
Magicka: Nippon,73031
Ghostbusters: Sanctum of Slime Challenge Pack DLC,9992
Still Life 2,46490
Still Life,46480
Call of Duty®: Black Ops Escalation Content Pack,42718
Dungeon Siege III,39160
Duke Nukem Forever,57900
A.V.A. Alliance of Valiant Arms™,102700
Champions Online,9880
Spectromancer - Truth &amp; Beauty,22520
Cities in Motion: Design Now,73014
Two Worlds II Castle Defense,7530
The Cat and the Coup,95700
Magic: The Gathering - Duels of the Planeswalkers 2012,49470
Ancients of Ooga,91810
Beat Hazard Ultra,49604
Frozen Synapse: Soundtrack,98210
Solar 2,97000
Ironclads: Schleswig War 1864,46760
Ironclads: Anglo Russian War 1866,46830
Magicka: Final Frontier,73035
Ironclads: Chincha Islands War 1866,46840
F.E.A.R. 3,21100
Magicka: Frozen Lake,73037
Magicka: The Watchtower,73036
Trainz Simulator DLC: The Duchess,24635
Magicka: Party Robes,901679
Europa Universalis III: Western - AD 1400 Spritepack,25810
Dungeons and Dragons: Daggerdale,99100
RETRO – Expansion Pack for RACE 07,44660
Farming Simulator 2011 Equipment Pack 2,90209
Europa Universalis III: Eastern - AD 1400 Spritepack,25809
Hearts of Iron III: For the Motherland,42903
Worms Reloaded: Puzzle Pack,22631
Worms Reloaded: Retro Pack,22634
Worms Reloaded: Time Attack Pack,22633
Dungeons: Map Pack DLC,57656
Worms Reloaded: Forts Pack,22632
Puzzle Agent 2,94590
Killing Floor: Steampunk Character Pack,35425
Pride of Nations: Spanish-American War 1898,73192
Tobe's Vertical Adventure,105700
Fallout New Vegas: Old World Blues,72750
"Warhammer 40,000: Dawn of War II: Retribution - Ulthwe Wargear DLC",56538
Lucid,61100
Train Simulator: BR Class 421 '4CIG' Loco,65228
Homefront: Express 870 Shotgun,55205
Runespell: Overture,102200
Men of War: Assault Squad - Skirmish Pack,64013
Aaaaa! - Brutal Concussion,15522
Delve Deeper: Treasures and Tunnels,63802
A.R.E.S.: Berzerker Suit,92302
Cities in Motion: Metro Stations,73183
Nancy Drew®: Secrets Can Kill REMASTERED,42210
ARMA: Cold War Assault,65790
SpaceChem: 63 Corvi,92803
Tropico 4,57690
Nancy Drew®: The Captive Curse,42220
Nancy Drew®: Trail of the Twister,42230
The Clockwork Man,111000
Pride of Nations: American Civil War 1862,73193
EDGE,38740
Civilization V - Civ and Scenario Pack: Korea,99612
Civilization V - Scenario Pack: Wonders of the Ancient World,99614
Sanctum: Official Soundtrack,91604
Hacker Evolution Duality,70120
Space Pirates and Zombies,107200
Section 8: Prejudice Frontier Colonies Map Pack,97108
Section 8: Prejudice Blitz Pack,97106
Section 8: Prejudice Overdrive Map Pack,97107
"Warhammer 40,000: Dawn of War II - Ultramarines Pack",56487
Fallout New Vegas®: Lonesome Road™,72760
Puzzle Pirates,99910
The Baconing,18070
"Warhammer 40,000: Space Marine",55150
Men of War: Vietnam,63940
Hard Reset Extended Edition,98400
Pride of Nations: The Franco-Prussian War 1870,73194
Wasteland Angel,46520
Rock of Ages,22230
Red Orchestra 2: Heroes of Stalingrad with Rising Storm,35450
Cities in Motion: German Cities,73185
Magic: The Gathering 2012 - Expansion,49473
Sengoku,73210
Astro Tripper,110600
Nancy Drew®: Shadow at the Water's Edge,200080
Two Worlds II - Pirates of the Flying Fortress,200440
Bunch of Heroes,111400
Duke Nukem Forever: Hail to the Icons Parody Pack,57923
Supreme Commander: Forged Alliance,9420
The Binding of Isaac,113200
Farming Simulator 2011 Equipment Pack 3,90208
Off-Road Drive,200230
Supreme Commander,9350
Fate of the World: Tipping Point,901776
Post Apocalyptic Mayhem: DLC - Chaos Pack,201100
Fate of the World: Denial,80202
Fate of the World: Migration,80204
Sniper: Ghost Warrior - Second Strike,34842
Air Conflicts: Secret Wars,95900
Fate of the World: Extras Pack,80207
Dead Rising 2: Off the Record,45770
The Baconing DLC - Roesha – One Bad Mutha Co-op Character,18080
Disciples III - Resurrection,200670
Memoir '44 Online,108210
Train Simulator: Amtrak Acela Express EMU Add-On,65231
Costume Quest,115100
The Sims™ 3 Pets,47930
Gratuitous Space Battles: The Parasites,41816
Serious Sam: The Random Encounter,201480
Puzzler World 2,200130
Airline Tycoon 2,201490
ArcaniA: Fall of Setarrif,65610
The Haunted: Hells Reach,43190
Orcs Must Die! - Artifacts of Power,102622
Dungeon Siege III: Treasures of the Sun,39270
DC Universe™ Online,24200
Tropico 4: Junta Military DLC,57696
Sonic Generations Collection,71340
Nancy Drew®: Alibi in Ashes,202670
Orcs Must Die! - Lost Adventures,102623
Call of Duty®: Modern Warfare® 3,115300
L.A. Noire,110800
L.A. Noire: DLC Bundle,110810
Men of War: Assault Squad - MP Supply Pack Charlie,64016
"Jamestown: Gunpowder, Treason, &amp; Plot",94202
Dungeon Defenders Halloween Mission Pack,202521
Fractal: Make Blooms Not War,61310
Magicka: Horror Props Item Pack,73092
SkyDrift,91100
Magicka: Holiday Spirit Item Pack,73091
Total War: SHOGUN 2 - The Hattori Clan Pack,34345
Total War: Shogun 2 - Blood Pack DLC,201272
Magicka: The Stars Are Left,73058
Europa Universalis III: Reformation SpritePack,25812
Real Warfare 1242,46350
Galactic Civilizations® II: Ultimate Edition,202200
Train Simulator: West Coast Main Line North Route Add-On,24083
APB Reloaded,113400
Blackwell Unbound,80340
Men of War: Assault Squad - Skirmish Pack 2,64017
Killing Floor - Steampunk Character Pack 2,35429
Flatout 3: Chaos &amp; Destruction,201510
Assassin's Creed Revelations - The Ancestors Character Pack,201877
Dungeon Defenders The Great Turkey Hunt! Mission &amp; Costumes,203700
Tropico 4: Plantador DLC,57695
Earth Defense Force: Insect Armageddon,23530
Magic 2012 Deck Pack 2,49475
"Warhammer 40,000: Space Marine - Golden Relic Chainsword",55344
"Warhammer 40,000: Space Marine - Traitor Legions Pack",55341
Dungeons of Dredmor: Realm of the Diggle Gods,98820
"Warhammer 40,000: Space Marine - Emperor’s Elite Pack",55340
Pirates of Black Cove: Origins,49337
"Warhammer 40,000: Space Marine - Golden Relic Bolter",55343
X3: Albion Prelude,201310
Trine 2: Complete Story,35720
Dungeon Defenders - Quest for the Lost Eternia Shards Part 1,204381
SATAZIUS,203990
Fable - The Lost Chapters,204030
Renegade Ops - Reinforcement Pack,200620
Crazy Machines 2: Happy New Year DLC,202452
Dungeon Defenders - Etherian Holiday Extravaganza,204380
Saints Row: The Third Warrior Pack,55395
Renegade Ops - Coldstrike Campaign,200610
"Warhammer 40,000: Space Marine - Alpha Legion Champion Armour Set",55471
"Warhammer 40,000: Space Marine - Salamanders Veteran Armour Set",55473
"Warhammer 40,000: Space Marine - Blood Angels Veteran Armour Set",55472
"Warhammer 40,000: Space Marine - Legion of the Damned Armour Set",55470
"Warhammer 40,000: Space Marine - Chaos Unleashed Map Pack",55347
Earth Defense Force Tactician Advanced Tech Package,23553
Earth Defense Force Trooper Special Issue Enforcer Package,23551
Earth Defense Force Battle Armor Weapon Chest,23550
Oil Rush,200390
Train Simulator: Woodhead Route Add-On,65244
King Arthur II: The Role-Playing Wargame,24480
King Arthur II: Dead Legions,24488
Serious Sam 2,204340
Fortune Summoners,203510
Star Trek Online,9900
Dungeon Defenders: Barbarian Hero DLC,204386
Dungeon Defenders: Assault Mission Pack,204385
Jagged Alliance - Back in Action,57740
Pineapple Smash Crew,204390
Victoria II: A House Divided,42968
PixelJunk™ Eden,105800
Snuggle Truck,111100
Titan Attacks!,203210
Choplifter HD - Night Avenger Chopper,205160
Crusader Kings II,203770
Crusader Kings II: Dynasty Shields,203772
Crusader Kings II: Mongol Faces,203773
Xotic DLC: Pipe Works Expansion Pack,92620
Alan Wake,108710
Train Simulator: Glasgow Airport Rail Link Route Add-On,24065
Magicka: Lonely Island Cruise,73039
Postal III,10220
Starpoint Gemini,108110
Realm of the Mad God,200210
Hearts of Iron III: Dies Irae Stars &amp; Stripes Spritepack,42905
Saints Row: The Third - Gangstas in Space,55381
Pickers,204440
1000 Amps,205690
Assassin's Creed® Revelations - The Lost Archive,201882
Rayman® Origins,207490
Train Simulator: DB Freight: 1970s Loco Add-On,65249
Cities In Motion: Design Dreams,206710
